Patient_Problem,Disease,Prescription
"Feeling very tired lately, even after a full night's sleep.",Chronic Fatigue Syndrome,"Pacing activities, cognitive behavioral therapy."
Frequent urination and excessive thirst have been a problem.,Type 1 Diabetes,Insulin therapy as prescribed; monitor blood glucose levels.
"Trouble sleeping, feeling anxious and restless at nights.",Insomnia and Anxiety,"Sleep hygiene practices; if needed, low-dose anti-anxiety medication."
Sudden weight loss and lack of appetite for no clear reason.,Unexplained Weight Loss,Comprehensive metabolic panel; consult for further endocrine evaluation.
"Swelling and pain in the joints, particularly in the mornings.",Rheumatoid Arthritis,Methotrexate as prescribed; physical therapy.
Excessive sweating at night without any physical exertion.,Tuberculosis,Antituberculosis therapy as per guidelines.
A persistent dry cough that has lasted for more than a month.,Chronic Bronchitis,Stop smoking; consider inhaled corticosteroids.
"Constant feeling of being cold, even in warm temperatures.",Hypothyroidism,Levothyroxine as prescribed; regular TSH levels monitoring.
Unexpected skin lesions that are sensitive to touch.,Basal Cell Carcinoma,Surgical excision if necessary; sunscreen use.
Recurring episodes of severe abdominal pain.,Gallstones,Ursodeoxycholic acid; surgical removal if symptomatic.
Difficulty swallowing and a sensation of a lump in the throat.,Esophageal Stricture,Proton pump inhibitors; dietary modifications.
Frequent intense headaches that impair daily activities.,Cluster Headaches,Verapamil as preventative; oxygen therapy during attacks.
Sudden episodes of confusion and difficulty remembering recent events.,Transient Ischemic Attack,Aspirin 81mg daily; neurology referral for further evaluation.
I've been experiencing headaches and dizziness.,Migraine and Vertigo,Pain relievers and vestibular rehabilitation therapy.
My stomach has been upset with diarrhea.,Irritable Bowel Syndrome,Dietary adjustments and anti-diarrheal medications.
Noticed a spreading rash on my arm.,Contact Dermatitis,Corticosteroid creams and avoiding irritants.
Persistent coughing and breath shortness.,Chronic Asthma,Inhaled corticosteroids and lifestyle modifications.
Sharp knee pain when walking.,Knee Osteoarthritis,Physical therapy and NSAIDs.
"Vision is blurry, especially when reading.",Age-related Macular Degeneration,Prescription reading glasses and regular eye exams.
"Feeling very tired, even with full sleep.",Chronic Fatigue Syndrome,Lifestyle adjustments and cognitive behavioral therapy.
Severe back pain after long sitting periods.,Sciatica,Physical therapy and pain relievers.
Frequent urination and excessive thirst.,Type 1 Diabetes,Insulin therapy and dietary planning.
Trouble sleeping and feeling anxious.,Insomnia and Generalized Anxiety Disorder,CBT and sleep hygiene practices.
Sudden weight loss without trying.,Hyperthyroidism,Thyroid hormone replacement therapy.
Constant feeling of being cold.,Hypothyroidism,Thyroid hormone replacement therapy.
Unexplained bruises appearing on the skin.,Leukemia,Chemotherapy or targeted drug therapy.
Persistent sore throat and fever.,Strep Throat,Antibiotics and throat lozenges.
Severe mood swings affecting daily life.,Bipolar Disorder,Mood stabilizers and psychotherapy.
Experiencing chest pain and tightness.,Angina,Nitroglycerin and lifestyle changes.
Unusual hair loss in patches.,Alopecia Areata,Steroid injections and topical immunotherapy.
Swelling and pain in the joints.,Rheumatoid Arthritis,DMARDs and NSAIDs.
Constant nausea and occasional vomiting.,Gastroenteritis,Rehydration and antiemetic medication.
Experiencing flashes of light in vision.,Retinal Detachment,Urgent surgical assessment.
Sudden and severe abdominal pain.,Appendicitis,Surgical removal of the appendix.
"Dry, itchy patches on the skin.",Eczema,Moisturizers and topical steroids.
Frequent and severe nosebleeds.,Epistaxis,Pinching the nose and leaning forward.
Difficulty swallowing and throat tightness.,Esophageal Stricture,Acid reducers and esophageal dilation.
Unintentional weight gain and facial puffiness.,Hypothyroidism,Thyroid hormone replacement therapy.
"High fever, headache, and stiff neck.",Meningitis,Antibiotics and corticosteroids.
Pain and burning sensation when urinating.,Urinary Tract Infection,Antibiotics and pain relief.
Severe itching and swelling after insect bites.,Severe Allergic Reaction,Antihistamines and corticosteroids.
Painful blisters on the lips or around the mouth.,Herpes Simplex,Antiviral medication and pain relief.
Blood in urine without pain.,Hematuria,Further diagnostic tests and treatment based on cause.
Cramps and bloating in the lower abdomen.,Irritable Bowel Syndrome,Dietary changes and antispasmodic medications.
White patches inside the mouth or on the tongue.,Oral Thrush,Antifungal medication.
Sudden severe headache with no known cause.,Subarachnoid Hemorrhage,Immediate medical evaluation and CT scan.
"Red, painful eye with blurred vision.",Uveitis,Steroid eye drops and dark glasses.
"Swollen, tender lymph nodes in the neck.",Lymphadenitis,Antibiotics and warm compresses.
Difficulty breathing after eating certain foods.,Food Allergy,Avoidance of allergens and emergency epinephrine.
Intense burning sensation and redness in the eye.,Conjunctivitis,Antibiotic or antihistamine eye drops.
Recurring episodes of fainting or dizziness.,Vasovagal Syncope,Stay hydrated; avoid triggers like standing for long.
Sudden onset of paralysis on one side of the face.,Bell's Palsy,Corticosteroids and physical therapy.
Excruciating pain around the lower back area.,Kidney Stones,Pain relievers and drinking water to pass the stone.
Noticeable change in bowel habits and blood in stool.,Colorectal Cancer,Surgical intervention and chemotherapy if needed.
Extreme fatigue and yellowing of the skin.,Hepatitis C,Antiviral treatment and liver health monitoring.
Severe pain in the chest that radiates to the left arm.,Myocardial Infarction,Emergency medical care; aspirin; and oxygen therapy.
Unexpected swelling and pain in one leg.,Deep Vein Thrombosis,Anticoagulants and wearing compression stockings.
Intense abdominal pain and bloating after meals.,Gallstones,Pain management and possibly surgery to remove gallstones.
Recurring severe headaches accompanied by nausea.,Migraine,Pain relief medication and avoiding migraine triggers.
Loss of appetite and metallic taste in the mouth.,Gastroesophageal Reflux Disease,Antacids and diet changes to manage symptoms.
Frequent memory lapses and confusion.,Alzheimer's Disease,Medication to slow disease progression and manage symptoms.
Uncontrollable shaking of hands.,Parkinson's Disease,Medication to control symptoms and physical therapy.
Sudden loss of vision in one eye.,Retinal Vein Occlusion,Urgent assessment by an ophthalmologist; possible laser treatment.
Chronic soreness and stiffness in the shoulder.,Frozen Shoulder,Physical therapy and pain relief medications.
Ringing in the ears that doesn't go away.,Tinnitus,Sound therapy and avoiding loud noises.
Recurring painful ulcers in the mouth.,Aphthous Ulcers,Mouth rinses and topical treatments.
Persistent itchiness and flaking of the scalp.,Seborrheic Dermatitis,Medicated shampoos and topical treatments.
Unexplained episodes of rapid heartbeat.,Paroxysmal Supraventricular Tachycardia,Medications to control heart rate and avoid triggers.
Continuous sneezing and watery eyes during spring.,Allergic Rhinitis,Antihistamines and avoiding allergens.
"Hard, dry stools and difficulty passing them.",Constipation,High-fiber diet and hydration.
Sharp chest pains and difficulty swallowing food.,Esophagitis,Acid reducers and eating smaller meals.
High blood pressure readings on multiple occasions.,Hypertension,Blood pressure medication and lifestyle changes.
Swelling and stiffness in the hands in the morning.,Rheumatoid Arthritis,DMARDs and anti-inflammatory medication.
Red and itchy patches of skin covered with silvery scales.,Psoriasis,Topical treatments and light therapy.
Intense fear and avoidance of social situations.,Social Anxiety Disorder,Cognitive-behavioral therapy and SSRIs.
Seeing double images in one line of vision.,Diplopia,Corrective lenses or surgery depending on cause.
"Frequent intense urges to urinate, even at night.",Overactive Bladder,Bladder training exercises and medication.
"Throbbing pain in the big toe, especially at night.",Gout,NSAIDs and lifestyle modifications.
Shortness of breath and wheezing after exercise.,Exercise-Induced Asthma,Inhaled bronchodilators before exercise.
Excessive snoring and feeling tired after a full night's sleep.,Sleep Apnea,Continuous positive airway pressure (CPAP) machine.
Burning sensation in the stomach and chest after eating.,Gastroesophageal Reflux Disease,Antacids and dietary changes.
Consistent pain and clicking noise in the jaw.,Temporomandibular Joint Disorder,Pain relievers and jaw exercises.
"Round, bald patches suddenly appearing on the scalp.",Alopecia Areata,Corticosteroid injections and topical immunotherapy.
"Sudden, severe pain in the lower right abdomen.",Appendicitis,Surgical removal of the appendix.
"Cracking, itchy, or red skin between the toes.",Athlete's Foot,Antifungal medication.
Experiencing a deep sense of sadness and loss of interest.,Major Depressive Disorder,Antidepressants and psychotherapy.
Persistent dry cough and a feeling of a lump in the throat.,Chronic Bronchitis,Cough suppressants and quitting smoking.
"Severe reaction to peanuts, including difficulty breathing.",Peanut Allergy,Epinephrine auto-injector and avoiding peanuts.
"Numbness and tingling in fingers, especially in cold weather.",Raynaud's Phenomenon,"Warming the affected areas, avoiding cold exposure."
Severe abdominal cramps and bloody diarrhea.,Ulcerative Colitis,"Anti-inflammatory drugs, corticosteroids."
"Painful, swollen joints in the morning that improve with activity.",Rheumatoid Arthritis,"DMARDs, NSAIDs, and lifestyle changes."
"Bluish skin color, especially on the lips and fingertips.",Cyanosis,"Oxygen therapy, addressing the underlying cause."
Fever with swollen lymph nodes and a rash across the cheeks.,Lupus,"Anti-inflammatories, antimalarials, and lifestyle adjustments."
"Severe, acute pain in the lower back, radiating to the groin.",Kidney Stones,"Pain management, hydration, and possibly shock wave therapy."
"Brownish patches on the skin, mostly on the face.",Melasma,"Sun protection, topical treatments, and in some cases, laser therapy."
Violent shaking and chills without any apparent reason.,Malaria,Antimalarial medication and supportive care.
"Brittle nails and hair loss, feeling cold all the time.",Hypothyroidism,Thyroid hormone replacement therapy.
Frequent muscle cramps and spasms in the legs.,Electrolyte Imbalance,Electrolyte replacement drinks and dietary changes.
"Difficulty focusing on close objects, needing more light to read.",Presbyopia,"Reading glasses or bifocals, proper lighting."
Unexpected and unexplained bruising on the body.,Hemophilia,Clotting factor replacement therapy.
A sudden increase in frequency and intensity of headaches.,Migraines,"Pain relief medication, avoiding triggers, and in some cases, preventive medication."
"Extremely dry, cracked skin that may bleed.",Eczema,"Moisturizers, topical corticosteroids, and avoiding irritants."
Constantly feeling thirsty and drinking large amounts of water.,Diabetes Insipidus,"Medication to reduce urine output, adequate hydration."
"Uncontrollable movements of the eyes, rapid side to side.",Nystagmus,"Eye patches or glasses, in some cases surgery."
A lump in the neck that can be felt from the outside.,Thyroid Nodule,"Regular monitoring, biopsy or surgery if malignant."
"Sudden, unexplained weight loss and night sweats.",Lymphoma,"Chemotherapy, radiation therapy, or stem cell transplantation."
"Difficulty maintaining balance, feeling dizzy when standing up.",Orthostatic Hypotension,"Increasing salt intake, wearing compression stockings."
Red streaks spreading from a cut or scratch.,Cellulitis,"Antibiotics, keeping the area clean and elevated."
"Severe reaction to bee stings, including swelling and difficulty breathing.",Anaphylaxis,"Emergency epinephrine, antihistamines."
Experiencing flashes of light and floaters in vision.,Retinal Detachment,"Urgent ophthalmologic evaluation, potential surgery."
Intolerable itching in the ears and throat.,Allergic Rhinitis,"Antihistamines, nasal corticosteroids."
Discomfort and pain in the chest after eating spicy foods.,Acid Reflux,"Antacids, avoid trigger foods, eat smaller meals."
"Persistent sadness, loss of interest in activities, and fatigue.",Depression,"Antidepressants, psychotherapy."
Sharp pains shooting down the leg from the lower back.,Sciatica,"Physical therapy, NSAIDs, sometimes surgery."
Irregular heartbeat and fainting spells.,Arrhythmia,"Electrolyte correction, potentially pacemaker or medication."
"White, painless patches inside the mouth.",Leukoplakia,"Regular monitoring, potentially surgical removal."
Frequent episodes of intense fear and palpitations without any apparent trigger.,Panic Attacks,"CBT, SSRIs, lifestyle modifications."
"Excessive sweating, even in cool temperatures or at rest.",Hyperhidrosis,"Antiperspirants, Botox injections for severe cases."
"Burning pain and stiffness in the Achilles tendon, especially in the morning.",Achilles Tendinitis,"Rest, ice, physical therapy, anti-inflammatory medication."
"Severe abdominal pain and tenderness, especially in the lower right side.",Appendicitis,Surgical removal of the appendix.
"Difficulty swallowing, feeling like food is stuck in the throat.",Esophageal Obstruction,"Dietary changes, endoscopic treatment."
"A chronic dry, hacking cough without any signs of infection.",Chronic Bronchitis,"Quitting smoking, bronchodilators."
Noticeable thinning of the hair on the top of the head.,Androgenetic Alopecia,"Minoxidil, finasteride for males."
"Greenish discharge from the eyes, accompanied by itching and irritation.",Conjunctivitis,Antibiotic or antihistamine eye drops.
"Experiencing confusion, difficulty speaking, and understanding speech.",Stroke,"Immediate medical attention, clot-busting drugs."
Constant feeling of fullness in the ears and hearing loss.,Eustachian Tube Dysfunction,"Nasal steroids, autoinflation exercises."
"Blood in stool, along with a change in bowel movement frequency.",Colorectal Cancer,"Colonoscopy, potentially surgery, chemotherapy."
